id_prod,nom_prod,prix,qteDispo
1085,NBA 06,9.95,2
1086,GUN ,19.95,5
1087,NBA 2K6 ,4.95,2
1088,Pinball Hall of Fame: The Gottlieb Collection,9.95,5
1089,Harry Potter and the Goblet of Fire,17.95,3
1090,Tony Hawk's American Sk8land,16.95,7
1091,MVP Baseball,4.95,8
1092,Tiger Woods PGA Tour,17.95,4
1093,World Series of Poker,14.95,3
1094,SSX on Tour,16.95,6
1095,Tiger Woods PGA Tour 06,9.95,6
1096,Death Jr.,9.95,4
1097,Harry Potter and the Goblet of Fire,17.95,9
1098,MediEvil Resurrection,17.95,3
1099,"The Chronicles of Narnia: The Lion, the Witch a...",12.95,4
1100,Shrek SuperSlam,11.95,2
1101,Virtua Tennis: World Tour,14.95,6
1102,Prince of Persia: Revelations,6.95,1
1103,Burnout Legends,17.95,3
1104,Meteos,15.95,5
1105,Spyro: Shadow Legacy,17.95,2
1106,The Con,8.95,5
1107,Infected,17.95,3
1108,Pursuit Force,14.95,7
1109,Kingdom of Paradise,12.95,8
1110,Dragon Ball Z: Supersonic Warriors 2,22.95,4
1111,Dragon Quest Heroes: Rocket Slime,12.95,3
1112,Dead to Rights: Reckoning,14.95,6
1113,Amped 3,14.95,6
1114,Break 'em All,17.95,4
1115,Lunar: Dragon Song,14.95,4
1116,Madden NFL 06,9.95,3
1117,Retro Atari Classics,12.95,4
1118,True Swing Golf,14.95,2
1119,FIFA Soccer,14.95,6
1120,Metal Gear Ac!d 2,12.95,4
1121,ATV Quad Frenzy,14.95,1
1122,Bomberman,17.95,3
1123,GoldenEye: Rogue Agent,14.95,5
1124,Need for Speed Underground 2,22.95,2
1125,Frogger: Helmet Chaos,19.95,5
1126,The Lord of the Rings: Tactics,19.95,3
1127,Rengoku: The Tower of Purgatory,12.95,7
1128,Gretzky NHL,9.95,8
1129,Ridge Racer 6,14.95,4
1130,Ford Racing 3,14.95,3
1131,NHL 2K6 ,5.95,6
1132,Bust-a-Move DS,17.95,6
1133,Battles of Prince of Persia,14.95,4
1134,GripShift,9.95,9
1135,Marvel Nemesis: Rise of the Imperfects ,14.95,3
1136,Scooby-Doo! Unmasked,17.95,1
1137,Viewtiful Joe: Double Trouble!,14.95,1
1138,The Legend of Heroes: A Tear of Vermillion,17.95,1
1139,PQ: Practical Intelligence Quotient,14.95,1
1140,Lost in Blue,24.95,6
1141,Ghost in the Shell: Stand Alone Complex,14.95,2
1142,Dig Dug: Digging Strike,16.95,2
1143,Frogger: Helmet Chaos,17.95,7
1144,Mega Man Battle Network 5: Double Team DS,17.95,7
1145,Nanostray,17.95,8
1146,Sega Casino,17.95,3
1147,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,17.95,2
1148,Pac-Man World 3,24.95,5
1149,Tokobot,17.95,6
1150,Fullmetal Alchemist: Dual Sympathy,14.95,1
3001,Nintendo Switch,299.99,300
3002,Nintendo Switch Lite,199.99,200
3004,New Nintendo 3DS,169.99,30
3006,PlayStation 4,249.99,300
3007,PlayStation 3,119.99,10
3008,PlayStation Vita,149.99,12
3009,Xbox One,249.99,1
