Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,id
Fullmetal Alchemist: Dual Sympathy,True,1,True,True,Action,True,,True,58,0.05,14.95,Nintendo DS,1150
Exit,True,1,True,True,Action,True,Ubisoft,True,77,0.05,9.95,Sony PSP,1151
Bubble Bobble Revolution,True,1,True,True,Action,True,,True,38,0.04,17.95,Nintendo DS,1152
The Rub Rabbits!,True,2,True,True,"Action,Adventure",True,Sega,True,68,0.02,17.95,Nintendo DS,1153
Electroplankton,True,1,True,True,Simulation,True,Nintendo,True,71,0.01,29.95,Nintendo DS,1154
LifeSigns: Surgical Unit,True,1,True,True,"Simulation,Strategy",True,,True,61,0.01,22.95,Nintendo DS,1155
Space Invaders Revolution,True,1,True,True,Action,True,,True,49,0.01,13.95,Nintendo DS,1156
Wii Play,True,2,True,True,"Action,Sports",True,Nintendo,True,58,14.66,14.95,Nintendo Wii,1157
New Super Mario Bros.,True,1,True,True,Action,True,Nintendo,True,89,10.03,27.95,Nintendo DS,1158
Pokmon Diamond,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,85,6.77,27.95,Nintendo DS,1159
Pokmon Pearl,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,85,6.77,26.95,Nintendo DS,1160
Gears of War,True,2,True,True,Action,True,Microsoft,True,94,3.7,19.95,X360,1161
The Legend of Zelda: Twilight Princess,True,1,True,True,"Action,Role-Playing (RPG)",True,Nintendo,True,95,3.33,39.95,Nintendo Wii,1162
Cooking Mama,True,1,True,True,Simulation,True,,True,67,2.9,17.95,Nintendo DS,1163
Marvel Ultimate Alliance,True,4,True,True,"Action,Role-Playing (RPG)",True,Activision,True,82,2.42,14.95,X360,1164
Daxter,True,1,True,True,Action,True,Sony,True,85,2.38,14.95,Sony PSP,1165
The Elder Scrolls IV: Oblivion,True,1,True,True,"Action,Role-Playing (RPG)",True,2K,True,94,2.12,19.95,X360,1166
Madden NFL 07,True,2,True,True,Sports,True,EA,True,80,1.77,4.95,X360,1167
Grand Theft Auto: Vice City Stories,True,1,True,True,"Action,Racing / Driving",True,Rockstar,True,86,1.72,17.95,Sony PSP,1168
Resistance: Fall of Man,True,4,True,True,Action,True,Sony,True,86,1.61,19.95,PlayStation 3,1169
MotorStorm,True,1,True,True,"Action,Racing / Driving,Sports",True,Sony,True,82,1.58,16.95,PlayStation 3,1170
Call of Duty 3,True,2,True,True,Action,True,Activision,True,82,1.51,16.95,X360,1171
Yoshi's Island DS,True,1,True,True,Action,True,Nintendo,True,81,1.49,27.95,Nintendo DS,1172
Tom Clancy's Ghost Recon: Advanced Warfighter,True,4,True,True,Action,True,Ubisoft,True,90,1.46,14.95,X360,1173
Fight Night Round 3,True,2,True,True,"Action,Sports",True,EA,True,86,1.4,14.95,X360,1174
Pokmon Ranger,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,69,1.36,19.95,Nintendo DS,1175
Rayman Raving Rabbids,True,4,True,True,Action,True,Ubisoft,True,76,1.26,17.95,Nintendo Wii,1176
Saints Row,True,1,True,True,"Action,Racing / Driving",True,THQ,True,81,1.23,14.95,X360,1177
Tom Clancy's Rainbow Six: Vegas,True,2,True,True,Action,True,Ubisoft,True,88,1.19,14.95,X360,1178
Dead Rising,True,1,True,True,Action,True,Capcom,True,85,1.16,16.95,X360,1179
Call of Duty 3,True,1,True,True,Action,True,Activision,True,69,1.15,19.95,Nintendo Wii,1180
Lost Planet: Extreme Condition,True,1,True,True,Action,True,Capcom,True,79,1.15,12.95,X360,1181
Mario Hoops 3 on 3,True,1,True,True,Sports,True,Nintendo,True,69,1.03,22.95,Nintendo DS,1182
LEGO Star Wars II: The Original Trilogy,True,1,True,True,Action,True,EA,True,47,1.02,17.95,Nintendo DS,1183
Super Monkey Ball: Banana Blitz,True,4,True,True,Action,True,Sega,True,74,1.0,14.95,Nintendo Wii,1184
The Sims 2: Pets,True,1,True,True,Simulation,True,EA,True,49,0.97,14.95,Nintendo DS,1185
Need for Speed: Carbon - Own the City,True,1,True,True,Racing / Driving,True,EA,True,73,0.93,16.95,Sony PSP,1186
WarioWare: Smooth Moves,True,6,True,True,"Action,Racing / Driving,Sports",True,Nintendo,True,83,0.9,39.95,Nintendo Wii,1187
Fight Night Round 3,True,2,True,True,"Action,Sports",True,EA,True,83,0.86,13.95,PlayStation 3,1188
Final Fantasy III,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,77,0.86,17.95,Nintendo DS,1189
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,True,1,True,True,Action,True,Sony,True,81,0.86,16.95,Sony PSP,1190
Madden NFL 07,True,1,True,True,Sports,True,EA,True,78,0.83,9.95,Sony PSP,1191
Monster 4x4: World Circuit,True,4,True,True,Racing / Driving,True,Ubisoft,True,51,0.82,12.95,Nintendo Wii,1192
Kirby: Squeak Squad,True,1,True,True,Action,True,Nintendo,True,71,0.82,27.95,Nintendo DS,1193
Pokmon Battle Revolution,True,4,True,True,"Action,Strategy",True,Nintendo,True,53,0.81,39.95,Nintendo Wii,1194
Medal of Honor: Heroes,True,1,True,True,Action,True,EA,True,71,0.81,14.95,Sony PSP,1195
Tekken: Dark Resurrection,True,1,True,True,Action,True,"Namco,Sony",True,88,0.81,17.95,Sony PSP,1196
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,77,0.78,16.95,X360,1197
Mario vs. Donkey Kong 2: March of the Minis,True,1,True,True,Action,True,Nintendo,True,76,0.77,27.95,Nintendo DS,1198
Sonic Rivals,True,1,True,True,"Action,Racing / Driving",True,Sega,True,64,0.76,17.95,Sony PSP,1199
NCAA Football 07,True,2,True,True,Sports,True,EA,True,79,0.7,4.95,X360,1200
Mortal Kombat: Unchained,True,2,True,True,Action,True,Midway,True,70,0.67,17.95,Sony PSP,1201
Tom Clancy's Splinter Cell: Double Agent,True,1,True,True,Action,True,Ubisoft,True,85,0.67,17.95,X360,1202
Tetris DS,True,1,True,True,Strategy,True,Nintendo,True,84,0.66,17.95,Nintendo DS,1203
LEGO Star Wars II: The Original Trilogy,True,2,True,True,Action,True,,True,83,0.61,17.95,Sony PSP,1204
Red Steel,True,4,True,True,Action,True,Ubisoft,True,63,0.58,14.95,Nintendo Wii,1205
Metroid Prime: Hunters,True,1,True,True,Action,True,Nintendo,True,85,0.58,27.95,Nintendo DS,1206
LEGO Star Wars II: The Original Trilogy,True,2,True,True,Action,True,,True,81,0.57,14.95,X360,1207
NBA 2K7 ,True,1,True,True,Sports,True,2K,True,84,0.56,4.95,X360,1208
SEGA Genesis Collection,True,2,True,True,"Action,Racing / Driving,Role-Playing (RPG),Strategy",True,Sega,True,82,0.55,17.95,Sony PSP,1209
Call of Duty 3,True,1,True,True,Action,True,Activision,True,80,0.52,19.95,PlayStation 3,1210
NBA Live 07,True,1,True,True,Sports,True,EA,True,64,0.51,7.95,Sony PSP,1211
Madden NFL 07,True,2,True,True,Sports,True,EA,True,76,0.49,6.95,PlayStation 3,1212
SpongeBob SquarePants: The Yellow Avenger,True,1,True,True,Action,True,THQ,True,48,0.49,12.95,Sony PSP,1213
Madden NFL 07,True,4,True,True,Sports,True,EA,True,81,0.48,9.95,Nintendo Wii,1214
Fight Night Round 3,True,2,True,True,"Action,Simulation,Sports",True,EA,True,74,0.48,16.95,Sony PSP,1215
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,75,0.47,17.95,PlayStation 3,1216
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,67,0.47,17.95,Nintendo Wii,1217
WWE SmackDown vs. Raw 2007,True,4,True,True,Sports,True,THQ,True,81,0.45,12.95,X360,1218
Tiger Woods PGA Tour 07,True,1,True,True,Sports,True,EA,True,80,0.45,9.95,X360,1219
Viva Pi$?ata,True,4,True,True,"Simulation,Strategy",True,Microsoft,True,84,0.44,16.95,X360,1220
SpongeBob Squarepants: Creature from the Krusty Krab,True,1,True,True,"Action,Adventure",True,THQ,True,57,0.44,14.95,Nintendo Wii,1221
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,68,0.42,17.95,Sony PSP,1222
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,81,0.42,16.95,X360,1223
NBA LIVE 07 ,True,1,True,True,Sports,True,EA,True,59,0.42,4.95,X360,1224
Excite Truck,True,2,True,True,Racing / Driving,True,Nintendo,True,72,0.4,19.95,Nintendo Wii,1225
Harvest Moon DS,True,1,True,True,"Role-Playing (RPG),Simulation",True,,True,67,0.4,17.95,Nintendo DS,1226
Star Fox Command,True,1,True,True,Action,True,Nintendo,True,76,0.39,14.95,Nintendo DS,1227
Metal Gear Solid: Portable Ops,True,1,True,True,"Action,Strategy",True,Konami,True,87,0.39,17.95,Sony PSP,1228
Marvel Ultimate Alliance,True,4,True,True,"Action,Role-Playing (RPG)",True,Activision,True,73,0.38,17.95,Nintendo Wii,1229
Blazing Angels: Squadrons of WWII,True,2,True,True,Action,True,Ubisoft,True,66,0.37,16.95,X360,1230
Major League Baseball 2K6,True,2,True,True,Sports,True,2K,True,66,0.37,4.95,X360,1231
NCAA Football 07,True,1,True,True,Sports,True,EA,True,75,0.36,9.95,Sony PSP,1232
MLB 06: The Show,True,2,True,True,Sports,True,Sony,True,83,0.35,9.95,Sony PSP,1233
Blazing Angels: Squadrons of WWII,True,2,True,True,Action,True,Ubisoft,True,67,0.35,16.95,PlayStation 3,1234
WWE SmackDown vs. Raw 2007,True,4,True,True,Sports,True,THQ,True,78,0.34,14.95,Sony PSP,1235
Rune Factory: A Fantasy Harvest Moon,True,1,True,True,"Role-Playing (RPG),Simulation",True,,True,78,0.34,24.95,Nintendo DS,1236
Marvel Ultimate Alliance,True,1,True,True,"Action,Role-Playing (RPG)",True,Activision,True,81,0.34,22.95,Sony PSP,1237
Marvel Ultimate Alliance,True,4,True,True,"Action,Role-Playing (RPG)",True,Activision,True,78,0.33,24.95,PlayStation 3,1238
Tiger Woods PGA Tour 07,True,4,True,True,Sports,True,EA,True,81,0.32,14.95,PlayStation 3,1239
Ace Combat X: Skies of Deception,True,1,True,True,"Action,Simulation",True,Namco,True,75,0.32,22.95,Sony PSP,1240
Killzone: Liberation,True,1,True,True,"Action,Strategy",True,Sony,True,77,0.32,16.95,Sony PSP,1241
F.E.A.R.: First Encounter Assault Recon,True,1,True,True,Action,True,,True,85,0.32,17.95,X360,1242
NBA 2K7,True,7,True,True,Sports,True,2K,True,80,0.31,7.95,PlayStation 3,1243
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,76,0.3,14.95,PlayStation 3,1244
Avatar: The Last Airbender,True,1,True,True,Action,True,THQ,True,64,0.3,17.95,Nintendo DS,1245
Castlevania: Portrait of Ruin,True,1,True,True,Action,True,Konami,True,85,0.3,17.95,Nintendo DS,1246
Hitman: Blood Money,True,1,True,True,Action,True,Eidos,True,82,0.29,22.95,X360,1247
